Modality,TP,TN,FP,FN
Multimodal,3.503257618,31.88774238,0.986218837,10.62278116
EEG,26.2,65.5,0,39.3
rs-fMRI,10,16.5,13.5,10
s-MRI,10.26526316,118.5347368,46.09684211,9.103157895
Multimodal,249.111478,281.327522,124.0435472,216.5174528
rs-fMRI,40.6904943,81.2845057,19.19077947,33.83422053
Multimodal,12.54,21.78,0.22,9.46
s-MRI,239.0742857,201.3257143,113.2457143,180.3542857
rs-fMRI,83.98634146,15.42965854,9.741073171,62.84292683
rs-fMRI,69.77846707,107.4835329,35.82784431,49.91015569
Multimodal,321.253012,393.119988,182.4583253,214.1686747
rs-fMRI,196.8,213.2,114.8,131.2
rs-fMRI,26.90672986,38.78127014,8.744796209,17.56720379
rs-fMRI,249.1984956,334.3715044,128.1063717,159.3236283
rs-fMRI,282.6549,322.9611,239.6889,177.6951
rs-fMRI,110.6563333,68.36666667,45.57777778,68.39922222
rs-fMRI,298.84,279.56,202.44,183.16
rs-fMRI,47.74,49.28,27.72,29.26
rs-fMRI,316.1710651,416.6089349,110.0774556,192.1425444
s-MRI,164.745,169.975,91.525,96.755
rs-fMRI,255.014864,352.943136,113.912864,149.129136
rs-fMRI,172.0300481,256.3449519,47.74158654,98.88341346
rs-fMRI,83.93441441,96.84558559,32.97423423,48.24576577
rs-fMRI,298.047562,403.107438,0,169.845
rs-fMRI,399.8133333,201.7866667,111.5466667,226.8533333
rs-fMRI,330.6905227,393.1414773,141.7448864,180.4231136
rs-fMRI,130.2,129.8,70.2,69.8
rs-fMRI,130.2,129.8,70.2,69.8
rs-fMRI,120.9,139.5,46.5,65.1
rs-fMRI,273.93312,308.01888,142.30112,141.74688
s-MRI,230,480,186.6666667,103.3333333
rs-fMRI,322.524,391.034,176.5044615,163.9375385
rs-fMRI,636.776,96.448,40.552,322.224
rs-fMRI,13.80606061,19.39393939,0,6.8
Multimodal,302.5806136,429.5083864,131.2075227,143.7034773
rs-fMRI,183.039,140.556,48.87257143,86.53242857
EEG,14.02947368,24.68052632,3.687894737,6.602105263
rs-fMRI,344.3896154,383.2153846,147.5538462,159.8411538
Eye Tracking,9.360808989,7.243191011,7.07141573,4.32458427
rs-fMRI,368.3602963,443.3997037,133.1928889,167.0471111
Eye Tracking,33.5225,53.3975,4.019166667,15.06083333
rs-fMRI,78.66,56.24,19.76,35.34
rs-fMRI,311.5537778,384.3772222,178.4005556,138.6684444
rs-fMRI,60.57473684,65.46526316,31.37684211,26.58315789
rs-fMRI,271.3044156,548.4155844,96.77922078,118.5007792
DWI/DTI,37.8,26.12,13.88,16.2
DWI/DTI,92.05,99.94,31.56,39.45
rs-fMRI,352.9615385,433.6384615,97.13076923,151.2692308
rs-fMRI,28.10327869,24.82672131,14.0257377,12.0442623
rs-fMRI,233.4334737,89.95452632,45.51915789,99.09284211
rs-fMRI,362.208,330.309,184.191,152.292
rs-fMRI,701.255625,32.559375,10.565625,290.619375
T-MRI,10.38857143,15.41142857,9.894693878,4.305306122
rs-fMRI,349.4357143,395.7642857,146.3785714,143.4214286
Eye Tracking,9.472235294,7.915764706,6.743058824,3.868941176
rs-fMRI,367.9425,366.9075,150.5925,149.5575
DWI/DTI,18.486,19.526,6.474,7.514
rs-fMRI,424.3145263,206.2894737,68.76315789,171.6328421
rs-fMRI,76.27823529,99.73676471,28.13088235,30.85411765
rs-fMRI,408.2583154,313.8916846,224.5160077,164.3339923
s-MRI,57.55663636,38.46636364,12.14727273,22.82972727
rs-fMRI,215.1,219.9,80.1,84.9
rs-fMRI,25.94535593,41.04864407,4.815762712,10.19023729
DWI/DTI,26.28,26.207,10.293,10.22
rs-fMRI,27.33909091,15.60490909,7.686,10.37
rs-fMRI,264.5368243,404.3911757,101.7304459,100.3415541
s-MRI,64,81,39,16
T-MRI,36.526875,55.243125,9.444375,13.785625
rs-fMRI,539.6785714,195.1714286,100.5428571,199.6071429
rs-fMRI,308.2812121,342.3557879,106.3411818,114.0218182
rs-fMRI,73.803,429.675,143.225,27.297
s-MRI,85.16666667,77.33333333,56,31.5
rs-fMRI,43.61663248,49.72136752,8.774358974,15.88764103
rs-fMRI,122.8125405,79.45945946,47.67567568,44.05232432
rs-fMRI,30.9729375,19.0340625,17.9971875,10.9958125
DWI/DTI,22.2,37.8,7.2,7.8
rs-fMRI,487.3909091,237.1090909,139.2545455,171.2454545
rs-fMRI,74,67,33,26
rs-fMRI,382.95,396.405,121.095,134.55
rs-fMRI,322.8776786,269.3103214,106.2968214,110.5151786
s-MRI,35.48828571,48.20571429,15.22285714,12.08314286
T-MRI,21.25894737,24.22105263,7.357894737,7.162105263
rs-fMRI,347.6,291.984,113.5493333,115.8666667
s-MRI,431.1146807,281.0363193,260.459479,138.389521
Facial Recognition,37.26171429,26.89028571,12.08114286,11.76685714
rs-fMRI,387.7194286,248.9815714,111.8612857,122.4377143
rs-fMRI,356.1735484,414.9014516,152.6791935,111.2458065
rs-fMRI,23.01,21.99,8.01,6.99
s-MRI,80.89285714,35.37714286,7.765714286,26.96428571
s-MRI,16.962,16.918,5.082,5.038
rs-fMRI,478.0386909,298.1373091,193.8384485,141.9855515
rs-fMRI,114.165,147.5,0,33.335
rs-fMRI,429.1624204,297.4075796,183.8344586,124.5955414
rs-fMRI,89.90222222,100.1777778,24.26666667,25.65333333
rs-fMRI,660.5181818,126.0818182,62.1,186.3
rs-fMRI,553.152,275.504,81.82933333,161.5146667
T-MRI,22.551375,28.400625,8.724375,6.323625
rs-fMRI,399.789,292.656,67.7577931,110.7972069
rs-fMRI,68.05835294,74.90964706,22.50211765,18.52988235
rs-fMRI,366.1846047,301.0013953,104.1148837,99.69911628
rs-fMRI,103.6216667,244.7683333,97.565,28.045
rs-fMRI,15.01,15.77,3.23,3.99
rs-fMRI,82.43386667,49.69813333,27.9552,21.9128
rs-fMRI,429.4902857,290.8007143,115.9135714,112.7954286
rs-fMRI,135.4371765,25.55582353,14.43764052,35.56935948
rs-fMRI,371.0820414,260.3929586,142.0691103,97.45588966
rs-fMRI,32.75745865,37.68054135,3.01118797,8.55081203
EEG,18.66666667,3.313333333,1.353333333,4.666666667
rs-fMRI,464.8914205,363.1085795,119.1073295,87.89267045
rs-fMRI,26,41.86,3.64,6.5
rs-fMRI,28.836,28.764,7.236,7.164
rs-fMRI,64.35555556,89.49444444,11.06111111,16.08888889
s-MRI,232,369.75,65.25,58
s-MRI,15.19379845,28.80620155,2.201550388,3.798449612
s-MRI,32.10786517,31.88413483,3.981033708,8.026966292
rs-fMRI,325.8055385,386.2524615,86.51676923,79.42523077
rs-fMRI,426.6839571,280.3210429,139.9503857,102.0446143
Eye Tracking,41.05421053,37.05578947,19.26,9.63
Multimodal,322.612875,372.654125,46.058375,75.674625
Multimodal,16.43142857,44.62857143,6.085714286,3.854285714
rs-fMRI,361.9948454,299.5261546,120.5666289,84.91237113
s-MRI,29.196,29.124,6.876,6.804
s-MRI,211.7052,567.3248,257.2752,48.6948
Other Modalities,7.965415385,35.22758462,2.010876923,1.796123077
rs-fMRI,9.015978022,47.97802198,0,2.006
rs-fMRI,37.72,38.64,7.36,8.28
rs-fMRI,41,40,10,9
T-MRI,49.2,36.8,3.2,10.8
T-MRI,52.77818182,36.90181818,16.73454545,11.58545455
rs-fMRI,37.812,35.236,10.764,8.188
s-MRI,20.48228571,27.07771429,6.065142857,4.374857143
T-MRI,24.041,23.983,5.017,4.959
Other Modalities,37.72,38.54,2.46,3.28
rs-fMRI,429.525,434.7,82.8,87.975
rs-fMRI,33.2,30,10,6.8
s-MRI,21.34285714,30.85714286,3.428571429,4.371428571
EEG,25.74727273,23.27272727,5.818181818,5.161818182
rs-fMRI,101.507937,120.120063,50.02166929,20.35033071
rs-fMRI,464.816,420.336,135.664,91.184
Multimodal,99.33411765,22.02588235,44.71921569,18.92078431
Other Modalities,1139.233846,1120.146154,135.6230769,216.9969231
T-MRI,42,38,12,8
Eye Tracking,16.00332911,19.99367089,0,3.003
rs-fMRI,38.14287719,36.83712281,9.969894737,7.050105263
s-MRI,73.46469565,91.06330435,3.893217391,13.57878261
DWI/DTI,57.33620168,59.33079832,22.0557563,10.2772437
Multimodal,44.08842105,105.3915789,27.67859649,7.841403509
Other Modalities,19.975,23.359,0.141,3.525
Other Modalities,16.82460317,21.18739683,2.018952381,2.969047619
s-MRI,117.98,174.888,33.312,20.82
rs-fMRI,41.30649351,66.81350649,4.874805195,7.005194805
EEG,7.623104895,15.1048951,0,1.272
Other Modalities,12.18844444,15.55555556,2.222222222,2.033777778
rs-fMRI,42.1644,28.8456,11.9544,7.0356
EEG,167.2789474,4.721052632,0.542105263,27.45789474
s-MRI,25.92,78.12,11.88,4.08
Eye Tracking,30.81962963,32.15437037,6.216,4.81
Facial Recognition,1365.728,1362.592,205.408,202.272
rs-fMRI,43.065,43.56,5.94,6.435
rs-fMRI,26.1,27.9,2.1,3.9
s-MRI,40.89,218.55,16.45,6.11
Multimodal,13.968,13.776,2.224,2.032
Eye Tracking,58.254,58.121,8.379,8.246
rs-fMRI,51.04166667,39.99333333,6.673333333,7.291666667
rs-fMRI,22.89545455,21.95454545,1.909090909,3.240909091
rs-fMRI,40.388,40.296,5.704,5.612
rs-fMRI,40.388,40.296,5.704,5.612
s-MRI,27.00342857,140.8985714,7.415714286,3.682285714
rs-fMRI,60.0096,13.9944,2.8056,7.1904
Facial Recognition,1380.37875,1262.02125,114.22875,179.37125
EEG,8.01,7.992,1.008,0.99
Other Modalities,16.06029508,18.93770492,0.996721311,2.005278689
rs-fMRI,123.354,105.462,7.938,15.246
rs-fMRI,356.7535,358.3515,41.1485,42.7465
rs-fMRI,116.7415714,159.2914286,13.85142857,13.11557143
EEG,10.08,16.8,0,1.12
s-MRI,18.02,17.98,2.02,1.98
EEG,56.62714286,9.364857143,1.063714286,5.944285714
rs-fMRI,240.8085,240.2775,25.2225,24.6915
Facial Recognition,1332.944,1330.008,137.992,135.056
EEG,8.144751381,10.05524862,0,1.8
Eye Tracking,22.24444444,25.05555556,5.5,2.2
Other Modalities,41.47,9.57,2.858571429,4.101428571
rs-fMRI,137.4375758,179.7584242,25.21127273,13.59272727
rs-fMRI,1531.71,3378.69,527.31,142.29
DWI/DTI,35.13325301,21.68674699,0,3.18
rs-fMRI,20.043,26.775,5.367857143,1.814142857
Other Modalities,64.09333333,44.96666667,18.36666667,5.573333333
s-MRI,49.06666667,137.8133333,64.85333333,4.266666667
rs-fMRI,287.7866667,290.1333333,38.07179487,24.00820513
T-MRI,13.398,13.369,1.131,1.102
rs-fMRI,69,105.248,4.157405405,5.594594595
Eye Tracking,15.37655172,12.10344828,1.344827586,1.175172414
Eye Tracking,18.135,17.94,1.56,1.365
Multimodal,53.57608696,40.55191304,7.839391304,4.032608696
rs-fMRI,197.3925,62.9675,7.7825,14.8575
Eye Tracking,23.89566667,44.24933333,7.084,1.771
Facial Recognition,1153.212324,1169.057676,134.2396216,81.49037838
Multimodal,161.4411724,19.20682759,0.758689655,11.59331034
rs-fMRI,433.4575,566.7885,26.0865,27.6675
EEG,32.05238321,17.96761679,8.970339416,2.009660584
Other Modalities,144.9,57.792,16.87466667,8.433333333
rs-fMRI,161.08326,604.81674,260.44326,8.65674
EEG,23.37,87.576,10.824,1.23
Facial Recognition,528.756,527.644,28.356,27.244
Multimodal,19.971,19.929,1.071,1.029
s-MRI,38.9025,73.7685,2.2815,2.0475
s-MRI,21.66,11.4,3.8,1.14
s-MRI,89.13333333,103.4666667,3.2,4.2
EEG,9.137333333,84.94266667,3.724,0.196
Multimodal,15.22714286,13.54285714,0.742857143,0.487142857
rs-fMRI,30.39333333,14.25666667,1.41,0.94
EEG,10.77496774,4.457032258,0.446193548,0.321806452
Other Modalities,21.362,20.746,1.254,0.638
EEG,83.00243478,34.60556522,2.524869565,1.867130435
Multimodal,45.477,40.548,5.952,1.023
EEG,8.364,8.347,0.153,0.136
Multimodal,24.99,24.888,0.612,0.51
rs-fMRI,114.66,75.816,5.184,2.34
s-MRI,117.78157,32.21843003,48.32764505,1.672354949
s-MRI,106.037,105.823,1.177,0.963
EEG,173.67615,8.77485,0.37515,0.17385
EEG,59.45945946,53.82054054,6.72,0
EEG,39.92592593,36.07307407,1.001,0
EEG,20.5,19.27,1.23,0
EEG,7.048951049,5.957048951,0.994,0
Eye Tracking,19.5,19.11,0.39,0
Eye Tracking,9.333333333,18.61066667,0.056,0
Eye Tracking,16.09580838,10.59219162,5.312,0
Eye Tracking,6.233766234,23.78223377,1.984,0
Other Modalities,3.909090909,36.08090909,3.01,0
Other Modalities,14.03225806,14.97774194,0.99,0